feature,importance
compactness,0.11660027412151618
mean_b,0.11396227832483646
mean_g,0.10353971138173923
area,0.10288001179444332
mean_r,0.10136282593048648
vein_density,0.09819341953114069
perimeter,0.09747870641741788
std_b,0.09352712721180177
std_g,0.08742001985602713
std_r,0.08503562543059097
