feature,importance
mean_b,0.06371671424665344
vein_density,0.05993067033894989
mean_r,0.05385078501661988
std_b,0.052341084441617135
contrast,0.051117666116596905
mean_g,0.05042056607389372
lbp_2,0.049898939812791414
correlation,0.04862555297554206
std_r,0.04836831456786221
std_g,0.04765514995382977
lbp_1,0.047533366693865875
homogeneity,0.04612141550463583
lbp_0,0.04600606021825061
lbp_4,0.045827015855426825
lbp_9,0.0436848346497996
lbp_3,0.043320900360537797
lbp_7,0.042805224339833026
lbp_6,0.042227895983087564
lbp_5,0.0416807090449935
lbp_8,0.03894459220355307
energy,0.035922541601660064
