experiment,accuracy
full,0.6344213649851632
no_venation,0.6320474777448071
no_shape,0.6029673590504451
no_colour,0.5946587537091989
no_texture,0.5507418397626113
texture_only,0.49910979228486646
colour_only,0.3685459940652819
shape_only,0.18100890207715134
venation_only,0.03382789317507418
